Gene	HUGO	Chromosome	Strand	Transcript	TranscriptLength	nIntrons	IntronNb	IntronLength	IntronStart	IntronEnd	canonical
ENSG00000223972	DDX11L1	1	1	ENST00000456328	1657	2	1	500	12721	13221	1
ENSG00000227232	WASH7P	1	-1	ENST00000438504	1783	11	1	6359	18379	24738	1
ENSG00000237613	FAM138A	1	-1	ENST00000417324	1187	2	0	240	35481	35721	1
ENSG00000268020	AL627309.2	1	1	ENST00000594647	126	1	0	1763	53067	54830	1
ENSG00000240361	OR4G11P	1	1	ENST00000492842	940	0	-9	-9	-9	-9	1
ENSG00000186092	OR4F5	1	1	ENST00000335137	918	0	-9	-9	-9	-9	1
ENSG00000237683	AL627309.1	1	-1	ENST00000423372	2661	1	0	1819	135802	137621	1
ENSG00000222623	U6	1	-1	ENST00000410691	104	0	-9	-9	-9	-9	1
ENSG00000228463	AP006222.2	1	-1	ENST00000424587	2257	3	1	20450	238567	259017	1
ENSG00000241670	AP006222.1	1	-1	ENST00000450734	457	0	-9	-9	-9	-9	1
ENSG00000233653	CICP7	1	-1	ENST00000432723	1840	0	-9	-9	-9	-9	1
ENSG00000235249	OR4F29	1	1	ENST00000426406	995	0	-9	-9	-9	-9	1
ENSG00000269732	WBP1LP7	1	-1	ENST00000437905	363	0	-9	-9	-9	-9	1
ENSG00000256186	AL732372.1	1	-1	ENST00000540477	90	1	0	2	450852	450854	1
ENSG00000225972	MTND1P23	1	1	ENST00000416931	372	0	-9	-9	-9	-9	1
ENSG00000225630	MTND2P28	1	1	ENST00000457540	1044	0	-9	-9	-9	-9	1
ENSG00000237973	hsa-mir-6723	1	1	ENST00000414273	1543	0	-9	-9	-9	-9	1
ENSG00000240409	MTATP8P1	1	1	ENST00000467115	207	0	-9	-9	-9	-9	1
ENSG00000248527	MTATP6P1	1	1	ENST00000514057	681	0	-9	-9	-9	-9	1
ENSG00000268663	WBP1LP6	1	1	ENST00000438434	424	0	-9	-9	-9	-9	1
ENSG00000185097	OR4F16	1	-1	ENST00000332831	995	0	-9	-9	-9	-9	1
ENSG00000229376	CICP3	1	1	ENST00000440782	1795	0	-9	-9	-9	-9	1
ENSG00000223181	U6	1	-1	ENST00000411249	104	0	-9	-9	-9	-9	1
ENSG00000269831	AL669831.1	1	-1	ENST00000599533	129	2	0	309	738812	739121	1
ENSG00000177757	FAM87B	1	1	ENST00000326734	1944	1	0	521	753582	754103	1
ENSG00000230368	FAM41C	1	-1	ENST00000432963	504	3	1	853	804055	804908	1
ENSG00000234711	TUBB8P11	1	1	ENST00000415481	1058	0	-9	-9	-9	-9	1
ENSG00000269308	AL645608.2	1	1	ENST00000594233	57	2	0	1438	818058	819496	1
ENSG00000187634	SAMD11	1	1	ENST00000342066	2551	13	3	4683	866469	871152	1
ENSG00000268179	AL645608.1	1	-1	ENST00000598827	336	5	3	2295	863261	865556	1
ENSG00000188976	NOC2L	1	-1	ENST00000327044	2790	18	11	2524	883983	886507	1
ENSG00000187961	KLHL17	1	1	ENST00000338591	2560	11	0	493	896180	896673	1
ENSG00000187583	PLEKHN1	1	1	ENST00000379410	2404	15	1	3474	902183	905657	1
ENSG00000187642	C1orf170	1	-1	ENST00000433179	3064	4	2	2257	912004	914261	1
